tokens,params,n_seeds,N,attn_only_rec,attn_only_GE14,attn_square_rec,attn_square_GE14,delta_rec,delta_GE14,attn_only_rec_seeds,attn_only_GE14_seeds,attn_square_rec_seeds,attn_square_GE14_seeds
4,80264,10,20000,10.50,14.35,10.40,11.01,-0.10,-3.34,"[8, 12, 16, 14, 14, 4, 12, 7, 12, 6]","[11.5, 14.21, 0.0, 3.0, 1.29, 41.57, 11.5, 18.14, 14.36, 27.93]","[9, 5, 13, 13, 13, 9, 12, 12, 10, 8]","[13.14, 17.0, 8.0, 0.71, 4.21, 5.14, 2.43, 1.79, 12.36, 45.36]"
16,92552,10,20000,11.10,11.06,12.60,3.73,+1.50,-7.33,"[11, 12, 13, 12, 10, 13, 9, 7, 10, 14]","[2.93, 7.71, 9.79, 5.07, 17.64, 0.43, 28.93, 28.29, 7.21, 2.57]","[15, 15, 13, 9, 13, 14, 13, 10, 9, 15]","[2.64, 0.07, 1.71, 17.21, 2.14, 2.43, 0.5, 6.86, 2.21, 1.5]"
23,99720,10,20000,10.20,10.38,14.60,1.59,+4.40,-8.79,"[13, 3, 13, 9, 6, 14, 15, 10, 5, 14]","[1.43, 19.14, 1.29, 27.71, 21.71, 0.79, 0.07, 2.64, 23.0, 6.0]","[15, 11, 16, 14, 12, 16, 16, 15, 16, 15]","[0.21, 3.07, 0.0, 0.29, 4.86, 0.0, 0.0, 0.5, 0.0, 7.0]"
35,111520,10,20000,8.00,21.81,8.60,16.02,+0.60,-5.79,"[11, 9, 4, 5, 11, 10, 8, 5, 11, 6]","[5.5, 6.93, 40.07, 50.86, 9.21, 11.5, 22.43, 44.21, 7.57, 19.86]","[10, 9, 5, 5, 10, 13, 6, 6, 15, 7]","[13.64, 15.21, 31.29, 12.0, 6.07, 1.0, 15.64, 34.86, 0.07, 30.43]"
