tokens,params,N,variant,seed,bytes_recovered,GE_masked14
4,80264,20000,attn_only,0,8,11.5
4,80264,20000,attn_only,1,12,14.21
4,80264,20000,attn_only,2,16,0.0
4,80264,20000,attn_only,3,14,3.0
4,80264,20000,attn_only,4,14,1.29
4,80264,20000,attn_only,5,4,41.57
4,80264,20000,attn_only,6,12,11.5
4,80264,20000,attn_only,7,7,18.14
4,80264,20000,attn_only,8,12,14.36
4,80264,20000,attn_only,9,6,27.93
4,80264,20000,attn_square,0,9,13.14
4,80264,20000,attn_square,1,5,17.0
4,80264,20000,attn_square,2,13,8.0
4,80264,20000,attn_square,3,13,0.71
4,80264,20000,attn_square,4,13,4.21
4,80264,20000,attn_square,5,9,5.14
4,80264,20000,attn_square,6,12,2.43
4,80264,20000,attn_square,7,12,1.79
4,80264,20000,attn_square,8,10,12.36
4,80264,20000,attn_square,9,8,45.36
16,92552,20000,attn_only,0,11,2.93
16,92552,20000,attn_only,1,12,7.71
16,92552,20000,attn_only,2,13,9.79
16,92552,20000,attn_only,3,12,5.07
16,92552,20000,attn_only,4,10,17.64
16,92552,20000,attn_only,5,13,0.43
16,92552,20000,attn_only,6,9,28.93
16,92552,20000,attn_only,7,7,28.29
16,92552,20000,attn_only,8,10,7.21
16,92552,20000,attn_only,9,14,2.57
16,92552,20000,attn_square,0,15,2.64
16,92552,20000,attn_square,1,15,0.07
16,92552,20000,attn_square,2,13,1.71
16,92552,20000,attn_square,3,9,17.21
16,92552,20000,attn_square,4,13,2.14
16,92552,20000,attn_square,5,14,2.43
16,92552,20000,attn_square,6,13,0.5
16,92552,20000,attn_square,7,10,6.86
16,92552,20000,attn_square,8,9,2.21
16,92552,20000,attn_square,9,15,1.5
23,99720,20000,attn_only,0,13,1.43
23,99720,20000,attn_only,1,3,19.14
23,99720,20000,attn_only,2,13,1.29
23,99720,20000,attn_only,3,9,27.71
23,99720,20000,attn_only,4,6,21.71
23,99720,20000,attn_only,5,14,0.79
23,99720,20000,attn_only,6,15,0.07
23,99720,20000,attn_only,7,10,2.64
23,99720,20000,attn_only,8,5,23.0
23,99720,20000,attn_only,9,14,6.0
23,99720,20000,attn_square,0,15,0.21
23,99720,20000,attn_square,1,11,3.07
23,99720,20000,attn_square,2,16,0.0
23,99720,20000,attn_square,3,14,0.29
23,99720,20000,attn_square,4,12,4.86
23,99720,20000,attn_square,5,16,0.0
23,99720,20000,attn_square,6,16,0.0
23,99720,20000,attn_square,7,15,0.5
23,99720,20000,attn_square,8,16,0.0
23,99720,20000,attn_square,9,15,7.0
35,111520,20000,attn_only,0,11,5.5
35,111520,20000,attn_only,1,9,6.93
35,111520,20000,attn_only,2,4,40.07
35,111520,20000,attn_only,3,5,50.86
35,111520,20000,attn_only,4,11,9.21
35,111520,20000,attn_only,5,10,11.5
35,111520,20000,attn_only,6,8,22.43
35,111520,20000,attn_only,7,5,44.21
35,111520,20000,attn_only,8,11,7.57
35,111520,20000,attn_only,9,6,19.86
35,111520,20000,attn_square,0,10,13.64
35,111520,20000,attn_square,1,9,15.21
35,111520,20000,attn_square,2,5,31.29
35,111520,20000,attn_square,3,5,12.0
35,111520,20000,attn_square,4,10,6.07
35,111520,20000,attn_square,5,13,1.0
35,111520,20000,attn_square,6,6,15.64
35,111520,20000,attn_square,7,6,34.86
35,111520,20000,attn_square,8,15,0.07
35,111520,20000,attn_square,9,7,30.43
